time_micros,angle,yaw rate,time in seconds,angle step,angle accumulate
7300209,4.616667,0.2855556,0.7300209,,4.616667
7400183,4.601111,-0.1144444,0.7400183,-0.29600732,4.32065968
7499789,4.602222,0.01777778,0.7499789,0.099163845,4.419823525
7600541,4.602222,0.006666667,0.7600541,-0.008445047,4.411378478
7699355,4.602222,-0.002222222,0.7699355,-0.006843871,4.404534607
7799595,4.88,-6.588889,0.7799595,-5.137333327,-0.73279872
7899969,5.572222,-7.357778,0.7899969,-0.607419926,-1.340218646
7999411,6.164444,-5.353333,0.7999411,1.603437938,0.263219292
8099699,0.2844444,-3.486667,0.8099699,1.511943273,1.775162565
8199966,0.6444445,-4.164444,0.8199966,-0.555774836,1.21938773
8299551,1.051111,-4.353333,0.8299551,-0.156769389,1.062618341
8399968,1.438889,-3.801111,0.8399968,0.463864713,1.526483054
8499569,1.801111,-3.882222,0.8499569,-0.068940854,1.4575422
8599946,2.175555,-3.982222,0.8599946,-0.08599946,1.37154274
8700346,2.551111,-3.697778,0.8700346,0.247476122,1.619018861
8799919,2.943333,-3.865556,0.8799919,-0.147643281,1.47137558
8899638,3.276667,-3.863333,0.8899638,0.00197839,1.47335397
8999820,3.637778,-3.66,0.899982,0.18299604,1.65635001
9100071,3.994444,-3.768889,0.9100071,-0.099089763,1.557260247
9200152,4.341111,-3.6,0.9200152,0.155380447,1.712640694
9299987,4.682222,-3.67,0.9299987,-0.065099909,1.647540785
9400339,5.032222,-3.796667,0.9400339,-0.119071274,1.528469511
9499893,5.391111,-3.75,0.9499893,0.044333151,1.572802661
9600307,5.771111,-3.53,0.9600307,0.211206754,1.784009415
9699746,6.073333,-3.555556,0.9699746,-0.024788671,1.759220745
9800033,0.1366667,-3.744444,0.9800033,-0.185110863,1.574109881
9899649,0.4833333,-3.56,0.9899649,0.182593086,1.756702967
9998537,0.8255556,-3.688889,0.9998537,-0.128870144,1.627832824
10099913,1.182222,-3.743333,1.0099913,-0.054987966,1.572844857
10199444,1.537778,-3.686667,1.0199444,0.057796169,1.630641027
10299885,1.883333,-3.544445,1.0299885,0.146487024,1.777128051
10399650,2.225556,-3.632222,1.039965,-0.091285008,1.685843043
10499559,2.573333,-3.663333,1.0499559,-0.032665178,1.653177865
10599941,2.934444,-3.877778,1.0599941,-0.227310435,1.425867431
10700308,3.296667,-3.606667,1.0700308,0.29009712,1.715964551
10799960,3.667778,-3.492222,1.079996,0.123600142,1.839564693
10899581,3.937778,-3.673333,1.0899581,-0.197403401,1.642161292
10999858,4.29,-3.594445,1.0999858,0.08677568,1.728936971
11099412,4.635556,-3.642222,1.1099412,-0.053029661,1.675907311
11199737,4.982222,-3.647778,1.1199737,-0.006222574,1.669684737
11300136,5.328889,-3.653333,1.1300136,-0.006277226,1.663407511
11400154,5.673333,-3.557778,1.1400154,0.108934172,1.772341683
11500373,6.016667,-3.731111,1.1500373,-0.199339415,1.573002268
11600511,0.1244444,-3.745556,1.1600511,-0.016756938,1.556245329
11699215,0.1244444,-3.745556,1.1699215,0,1.556245329
11799693,0.7922222,-3.566667,1.1799693,0.211083528,1.767328857
11899913,1.131111,-3.567778,1.1899913,-0.00132208,1.766006777
11999192,1.474444,-3.602222,1.1999192,-0.041330017,1.72467676
12099815,1.828889,-3.806667,1.2099815,-0.247374668,1.477302092
12200139,2.184444,-3.618889,1.2200139,0.22909177,1.706393863
12299788,2.531111,-3.716667,1.2299788,-0.120264867,1.586128995
12399539,2.884444,-3.677778,1.2399539,0.048220567,1.634349563
12500240,3.238889,-3.703333,1.250024,-0.031944363,1.602405199
12599834,3.585556,-3.538889,1.2599834,0.20719671,1.80960191
